Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve,Cochin_3_weeks_moving_avg,Cochin_4_weeks_moving_avg,Cochin_5_weeks_moving_avg,Cochin_week_1,Cochin_week_2,Cochin_week_3,Cochin_week_4,Coimbatore_3_weeks_moving_avg,Coimbatore_4_weeks_moving_avg,Coimbatore_5_weeks_moving_avg,Coimbatore_week_1,Coimbatore_week_2,Coimbatore_week_3,Coimbatore_week_4,Coonoor_3_weeks_moving_avg,Coonoor_4_weeks_moving_avg,Coonoor_5_weeks_moving_avg,Coonoor_week_1,Coonoor_week_2,Coonoor_week_3,Coonoor_week_4,Guwahati_3_weeks_moving_avg,Guwahati_4_weeks_moving_avg,Guwahati_5_weeks_moving_avg,Guwahati_week_1,Guwahati_week_2,Guwahati_week_3,Guwahati_week_4,Jalpaiguri_3_weeks_moving_avg,Jalpaiguri_4_weeks_moving_avg,Jalpaiguri_5_weeks_moving_avg,Jalpaiguri_week_1,Jalpaiguri_week_2,Jalpaiguri_week_3,Jalpaiguri_week_4,Kolkata_3_weeks_moving_avg,Kolkata_4_weeks_moving_avg,Kolkata_5_weeks_moving_avg,Kolkata_week_1,Kolkata_week_2,Kolkata_week_3,Kolkata_week_4,Siliguri_3_weeks_moving_avg,Siliguri_4_weeks_moving_avg,Siliguri_5_weeks_moving_avg,Siliguri_week_1,Siliguri_week_2,Siliguri_week_3,Siliguri_week_4,Tea Serve_3_weeks_moving_avg,Tea Serve_4_weeks_moving_avg,Tea Serve_5_weeks_moving_avg,Tea Serve_week_1,Tea Serve_week_2,Tea Serve_week_3,Tea Serve_week_4,mjunction_3_weeks_moving_avg,mjunction_4_weeks_moving_avg,mjunction_5_weeks_moving_avg,mjunction_week_1,mjunction_week_2,mjunction_week_3,mjunction_week_4
2021-01-02,187.04,164.08,168.57,0.0,130.40,0,0,0,108.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,183.43,167.99,167.60,0.0,129.87,171.59,134.05,137.28,117.34,,,,0,,,,,,,0,,,,,,,0,,,,,,,164.08,,,,,,,0.0,,,,,,,187.04,,,,,,,168.57,,,,,,,108.74,,,,,,,130.40,,,
2021-01-16,183.20,168.27,163.66,0.0,138.55,166.89,135.42,139.27,124.95,112.82666666666667,,,171.59,0,,,92.18333333333334,,,137.28,0,,,89.82333333333334,,,134.05,0,,,166.78,,,167.99,164.08,,,0.0,,,0.0,0.0,,,184.55666666666664,,,183.43,187.04,,,166.60999999999999,,,167.60,168.57,,,117.00999999999999,,,117.34,108.74,,,132.94000000000003,,,129.87,130.40,,
2021-01-23,181.99,164.85,160.07,0.0,125.10,168.86,132.29,139.11,126.47,169.11333333333334,126.83500000000001,,166.89,171.59,0,,138.55333333333334,103.915,,139.27,137.28,0,,133.92,100.44,,135.42,134.05,0,,167.03666666666666,166.2975,,168.27,167.99,164.08,,0.0,0.0,,0.0,0.0,0.0,,182.87333333333333,183.915,,183.20,183.43,187.04,,163.77666666666667,164.975,,163.66,167.60,168.57,,122.92,119.375,,124.95,117.34,108.74,,131.17333333333335,130.98000000000002,,138.55,129.87,130.40,
2021-01-30,184.65,160.29,152.18,0.0,136.28,167.83,132.06,142.04,122.69,167.85999999999999,168.79250000000002,135.03400000000002,168.86,166.89,171.59,0,140.14,139.425,111.54,139.11,139.27,137.28,0,133.25666666666666,133.45499999999998,106.76399999999998,132.29,135.42,134.05,0,164.47,165.35,165.096,164.85,168.27,167.99,164.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.27999999999997,183.3175,184.06199999999998,181.99,183.20,183.43,187.04,158.63666666666668,160.8775,162.416,160.07,163.66,167.60,168.57,124.70333333333333,122.8625,120.03800000000001,126.47,124.95,117.34,108.74,133.30999999999997,132.45000000000002,132.04000000000002,125.10,138.55,129.87,130.40
2021-02-06,171.46,156.74,148.68,0.0,154.98,164.51,132.86,141.61,113.49,167.0666666666667,167.02249999999998,167.936,167.83,168.86,166.89,171.59,140.92,140.50750000000002,139.86200000000002,142.04,139.11,139.27,137.28,132.40333333333334,133.1575,133.336,132.06,132.29,135.42,134.05,160.62666666666667,162.5375,163.628,160.29,164.85,168.27,167.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.36666666666667,180.325,180.946,184.65,181.99,183.20,183.43,153.64333333333335,156.14749999999998,158.43800000000002,152.18,160.07,163.66,167.60,120.88333333333333,121.9,120.98799999999999,122.69,126.47,124.95,117.34,138.78666666666666,138.72750000000002,136.956,136.28,125.10,138.55,129.87
2021-02-13,174.30,147.65,151.70,0.0,147.27,167.30,131.72,140.33,118.78,166.54666666666668,167.125,167.078,164.51,167.83,168.86,166.89,141.32666666666668,140.7725,140.47200000000004,141.61,142.04,139.11,139.27,132.21333333333334,132.23250000000002,132.87,132.86,132.06,132.29,135.42,154.89333333333332,157.3825,159.56,156.74,160.29,164.85,168.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.80333333333337,178.10000000000002,179.12,171.46,184.65,181.99,183.20,150.85333333333332,153.1575,155.25799999999998,148.68,152.18,160.07,163.66,118.32,120.35749999999999,121.276,113.49,122.69,126.47,124.95,146.17666666666665,140.9075,140.436,154.98,136.28,125.10,138.55
2021-02-20,167.61,145.83,150.80,0.0,147.02,164.23,129.99,138.64,118.02,165.34666666666666,165.9675,166.546,167.30,164.51,167.83,168.86,140.19333333333336,140.655,140.346,140.33,141.61,142.04,139.11,131.52333333333334,131.6575,131.784,131.72,132.86,132.06,132.29,150.07333333333335,152.6275,155.072,147.65,156.74,160.29,164.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.12333333333333,174.50500000000002,176.002,174.30,171.46,184.65,181.99,150.39333333333335,150.84,152.68599999999998,151.70,148.68,152.18,160.07,116.76333333333332,118.245,119.88999999999999,118.78,113.49,122.69,126.47,149.7566666666667,146.3875,142.13,147.27,154.98,136.28,125.10
2021-02-27,156.36,158.10,0,0.0,0,165.38,123.94,139.69,117.14,165.63666666666666,165.355,165.85,164.23,167.30,164.51,167.83,139.55333333333334,140.0675,140.462,138.64,140.33,141.61,142.04,128.54999999999998,129.6275,130.114,129.99,131.72,132.86,132.06,150.52666666666667,152.08,153.722,145.83,147.65,156.74,160.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.09,167.43250000000003,170.87600000000003,167.61,174.30,171.46,184.65,100.83333333333333,112.795,120.672,150.80,151.70,148.68,152.18,117.98,116.8575,118.024,118.02,118.78,113.49,122.69,98.09666666666668,112.31750000000001,117.10999999999999,147.02,147.27,154.98,136.28
2021-03-06,147.73,0,0,0.0,0,164.24,120.39,131.97,117.88,164.61666666666667,165.2875,165.132,165.38,164.23,167.30,164.51,136.76666666666665,137.6575,138.448,139.69,138.64,140.33,141.61,124.77333333333333,126.51,127.78,123.94,129.99,131.72,132.86,101.31000000000002,112.89500000000001,121.66400000000002,158.10,145.83,147.65,156.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.23333333333335,161.5,163.49200000000002,156.36,167.61,174.30,171.46,50.26666666666667,75.625,90.236,0,150.80,151.70,148.68,117.68,117.955,117.06199999999998,117.14,118.02,118.78,113.49,49.00666666666667,73.5725,89.854,0,147.02,147.27,154.98
